Id	Proxy	Country	City
1	103.216.82.207:6667	 IN	Gujarat
2	81.157.44.78:8080	 GB	Bath and North East Somerset
3	193.19.132.65:8080	 UA	
4	47.91.224.252:80	 HK	
5	92.124.195.22:3128	 RU	Respublika Buryatiya
6	139.59.99.97:3128	 SG	Central Singapore Community Development Council
7	69.85.86.28:80	 US	California
8	181.143.73.34:53281	 CO	Bogota D.C.
9	159.203.174.2:3128	 US	New Jersey
10	183.89.88.73:8080	 TH	Bangkok
11	83.13.144.50:8080	 PL	West Pomerania
12	185.154.164.50:53281	 BE	
13	87.98.156.220:8080	 FR	
14	94.102.4.101:1080	 TR	
15	188.0.20.45:53281	 RU	Krasnoyarskiy Kray
16	216.135.118.164:53281	 US	Iowa
17	193.194.69.202:8090	 DZ	Algiers
18	46.105.57.150:24511	 FR	
19	109.236.111.45:53281	 RU	St.-Petersburg
20	191.98.183.138:8080	 PE	Lima
21	138.197.58.55:3128	 US	New Jersey
22	128.199.166.61:8118	 SG	Central Singapore Community Development Council
23	150.129.52.74:6667	 IN	Gujarat
24	177.22.72.78:8080	 BR	
25	159.203.33.72:80	 CA	Ontario
26	52.192.39.237:80	 JP	Tokyo
27	192.169.233.2:3837	 US	Arizona
28	193.110.115.220:3128	 UA	Donets'ka Oblast'
29	138.118.84.119:53281	 BR	
30	138.68.161.14:8080	 GB	England
31	178.57.107.134:8080	 RU	Vologodskaya Oblast'
32	103.46.128.49:25156	 CN	Zhejiang
33	185.59.245.195:41258	 RU	Dagestan
34	47.75.97.82:80	 US	California
35	114.30.73.215:8080	 IN	National Capital Territory of Delhi
36	223.205.218.192:8080	 TH	
37	78.10.36.4:53281	 PL	
38	110.77.137.35:8080	 TH	Bangkok
39	177.21.106.100:20183	 BR	Ceara
40	190.14.253.50:80	 CO	Departamento de Norte de Santander
41	67.229.141.186:3128	 US	New York
42	62.80.172.251:41258	 UA	Kyiv City
43	5.35.248.86:36204	 DE	
44	168.181.108.42:53281	 BR	Goias
45	187.53.60.226:8080	 BR	Goias
46	83.18.178.186:8080	 PL	
47	108.61.162.183:1080	 JP	Tokyo
48	110.139.131.254:9001	 ID	Central Kalimantan
49	183.91.87.39:3128	 ID	
50	103.216.82.18:6666	 IN	Gujarat
51	110.232.248.73:53281	 IN	
52	86.127.69.58:53281	 RO	
53	54.39.16.236:31289	 CA	Quebec
54	80.211.182.241:3128	 IT	Province of Arezzo
55	154.117.159.42:53281	 ZA	Gauteng
56	185.131.240.96:41258	 PL	
57	91.187.113.205:53281	 AL	
58	138.201.26.22:443	 DE	
59	91.144.147.46:8080	 RU	Penzenskaya Oblast'
60	193.86.229.230:8080	 CZ	
61	186.47.41.146:53281	 EC	Provincia de Pichincha
62	77.85.169.23:8080	 BG	
63	188.166.83.17:8080	 NL	North Holland
64	190.214.10.238:53281	 EC	Provincia de Pichincha
65	189.204.158.161:8080	 MX	Estado de Mexico
66	43.245.35.82:8080	 KH	Phnom Penh
67	104.139.96.6:45255	 US	North Carolina
68	103.70.145.200:6667	 IN	
69	182.253.7.34:3128	 ID	Jakarta
70	46.173.40.202:8080	 RU	Tverskaya Oblast'
71	192.111.76.143:53281	 US	Tennessee
72	93.99.179.233:8080	 CZ	Central Bohemia
73	103.15.141.213:53281	 BD	
74	41.130.134.139:8080	 EG	Cairo Governorate
75	104.28.26.116:80	 US	
76	185.85.162.32:83	 RU	Orenburgskaya Oblast'
77	125.164.140.124:8080	 ID	East Java
78	181.113.29.46:53281	 EC	Provincia de Pichincha
79	176.9.75.42:8080	 DE	
80	103.42.253.218:8080	 ID	Gorontalo
81	121.101.186.238:53281	 ID	Central Java
82	178.140.230.87:53281	 RU	Moscow
83	68.185.57.66:80	 US	Washington
84	103.216.82.206:6667	 IN	Gujarat
85	116.251.192.147:53281	 NZ	Bay of Plenty
86	37.59.8.29:56492	 FR	
87	122.252.182.80:53281	 KH	
88	186.208.3.86:53281	 BR	Pernambuco
89	81.24.88.53:8080	 RU	Dagestan
90	138.185.22.181:53281	 BR	
91	128.127.164.200:53281	 ES	Girona
92	91.238.56.17:41258	 PL	
93	35.189.76.197:80	 US	California
94	170.82.47.2:53281	 BR	Pernambuco
95	64.58.200.50:41258	 US	Arkansas
96	103.56.205.103:53281	 ID	West Java
97	182.23.107.212:3128	 ID	
98	188.191.28.203:8080	 UA	Republic of Crimea
99	201.192.156.146:8080	 CR	Provincia de San Jose
100	94.130.14.146:31288	 DE	
101	103.88.234.70:8080	 BD	Narayanganj
102	88.250.137.225:53281	 TR	Istanbul
103	190.193.221.39:53281	 AR	Buenos Aires F.D.
104	182.16.171.1:53281	 ID	Jakarta
105	77.46.239.33:8080	 RS	
106	192.169.154.178:80	 US	Arizona
107	1.179.183.86:8080	 TH	
108	88.198.23.144:3636	 DE	
109	103.243.81.234:8080	 BD	
110	125.62.197.33:84	 IN	Andhra Pradesh
111	201.16.194.177:53281	 BR	Sao Paulo
112	95.181.237.56:53281	 RU	Khabarovsk
113	70.169.129.235:48678	 US	Virginia
114	182.253.35.78:53281	 ID	Jakarta
115	83.175.238.170:53281	 ES	
116	164.115.241.78:53281	 TH	
117	122.200.149.20:3128	 ID	Jakarta
118	119.81.189.194:25	 HK	Central and Western District
119	200.111.196.93:8080	 CL	Santiago Metropolitan
120	82.165.181.78:3128	 DE	
121	195.154.207.153:80	 FR	
122	50.203.239.31:80	 US	
123	200.222.21.18:8080	 BR	Amazonas
124	93.17.7.146:80	 FR	Hauts-de-Seine
125	181.193.59.106:8080	 CR	Provincia de Alajuela
126	45.112.126.238:3128	 ID	Jakarta
127	80.94.30.227:8080	 PL	West Pomerania
128	202.152.63.99:8080	 ID	Jakarta
129	101.108.2.188:8080	 TH	Bangkok
130	103.76.174.170:8080	 ID	Banten
131	170.81.237.128:53281	 BR	
132	88.99.14.69:3128	 DE	
133	95.165.163.146:8888	 RU	Moscow
134	186.96.106.34:8181	 CO	Bogota D.C.
135	107.161.9.162:8080	 CA	Quebec
136	207.154.231.216:3128	 DE	Hesse
137	122.155.166.193:3128	 TH	Changwat Nakhon Ratchasima
138	185.158.65.120:41258	 CZ	Moravskoslezsky kraj
139	79.175.11.76:8080	 RU	St.-Petersburg
140	85.73.133.104:53281	 GR	
141	119.42.121.246:53281	 TH	Bangkok
142	180.183.143.241:8080	 TH	Bangkok
143	134.0.63.134:8000	 AL	Qarku i Tiranes
144	177.21.104.200:20183	 BR	Ceara
145	43.250.81.140:8080	 BD	Dhaka
146	35.198.185.132:80	 US	California
147	139.255.93.234:53281	 ID	Jakarta
148	201.90.134.34:8080	 BR	
149	186.150.200.219:3128	 DO	Nacional
150	54.36.46.110:8080	 FR	
151	43.247.37.26:80	 ID	Jakarta
152	159.224.83.100:8080	 UA	Kharkivs'ka Oblast'
153	77.120.40.77:8080	 UA	L'vivs'ka Oblast'
154	208.81.157.29:8080	 US	Washington
155	103.83.105.67:53281	 IN	
156	41.242.103.2:8080	 MG	
157	194.190.30.253:8080	 RU	Belgorodskaya Oblast'
158	47.75.48.149:80	 US	California
159	192.169.138.2:57835	 US	Arizona
160	185.128.104.81:8080	 RU	
161	201.93.189.31:3128	 BR	Sao Paulo
162	170.83.48.2:8080	 BR	Bahia
163	177.86.203.100:53281	 BR	Minas Gerais
164	212.115.224.71:53281	 UA	Dnipro
165	110.37.230.139:8080	 PK	Sindh
166	168.194.152.238:53281	 BR	Minas Gerais
167	88.250.183.134:53281	 TR	Istanbul
168	81.24.93.234:41258	 RU	Dagestan
169	93.81.115.135:8080	 RU	
170	103.14.250.93:8080	 KH	Preah Sihanouk
171	37.187.178.194:808	 FR	
172	45.233.168.35:8080	 DE	undefined
173	54.39.46.86:3128	 CA	Quebec
174	151.237.226.90:53281	 CZ	Mesto Brno
175	103.239.255.185:8080	 BD	Dhaka
176	109.188.89.209:9001	 RU	Moscow
177	177.91.33.113:53281	 BR	
178	104.28.2.250:80	 US	
179	50.203.239.25:80	 US	
180	91.234.224.18:65103	 RU	Orenburgskaya Oblast'
181	186.96.100.162:53281	 CO	Bogota D.C.
182	45.76.179.173:3128	 SG	Central Singapore Community Development Council
183	116.0.54.30:8080	 PK	Sindh
184	82.135.26.130:8080	 DE	
185	46.4.96.137:3128	 DE	
186	103.251.36.41:80	 HK	
187	138.68.173.29:8080	 GB	England
188	179.124.140.77:53281	 BR	Pernambuco
189	178.213.244.129:8080	 RU	
190	165.90.75.142:8080	 MZ	
191	186.71.20.154:80	 EC	Provincia de Pichincha
192	45.112.125.43:8080	 ID	Jakarta
193	149.56.232.144:8080	 CA	Quebec
194	35.230.132.201:80	 US	California
195	45.249.102.21:8080	 BD	Chittagong
196	89.0.236.130:8080	 DE	North Rhine-Westphalia
197	88.158.148.207:53281	 RO	Judetul Cluj
198	178.33.35.205:1080	 FR	
199	200.58.180.106:53281	 BO	
200	109.231.142.86:41258	 CZ	Okres Karvina
201	62.173.136.170:41258	 RU	
202	66.84.108.69:53281	 US	Michigan
203	196.250.234.30:53281	 ZA	
204	97.74.230.16:25129	 US	Arizona
205	103.65.193.195:8080	 IN	Haryana
206	43.242.242.196:8080	 MN	Ulaanbaatar Hot
207	138.201.101.33:443	 DE	
208	88.247.43.198:8080	 TR	Bursa
209	103.46.128.49:12136	 CN	Zhejiang
210	178.217.107.8:53281	 RU	Moscow
211	95.110.227.5:53773	 IT	Province of Arezzo
212	159.203.91.6:8080	 US	New Jersey
213	176.120.209.160:8081	 RU	Dagestan
214	177.185.93.162:20183	 BR	Minas Gerais
215	46.55.19.97:53281	 MD	
216	66.96.237.253:8080	 ID	Jakarta
217	103.220.212.10:8080	 IN	Maharashtra
218	103.205.135.42:8080	 BD	Dhaka
219	221.139.49.46:80	 KR	Seoul
220	8.9.15.62:8080	 US	Illinois
221	200.164.78.114:80	 BR	
222	38.98.162.20:8080	 US	Illinois
223	186.71.60.30:53281	 EC	Provincia de Pichincha
224	5.53.158.85:9001	 BG	Sofia-Capital
225	176.118.49.102:53281	 UA	L'vivs'ka Oblast'
226	138.68.169.8:3128	 GB	England
227	158.69.229.64:3128	 CA	Quebec
228	190.12.54.34:6667	 EC	Provincia de Pichincha
229	198.100.52.130:41258	 US	Illinois
230	67.219.116.98:8181	 US	Texas
231	125.24.12.203:8080	 TH	Bangkok
232	168.205.38.167:53281	 BR	Pernambuco
233	35.236.82.108:80	 US	California
234	202.141.250.25:8080	 PK	Sindh
235	188.166.201.181:8080	 NL	North Holland
236	80.26.111.187:8080	 ES	Alicante
237	197.254.2.6:65301	 KE	Nairobi Province
238	178.143.191.155:8080	 SK	Zilina
239	66.154.103.39:80	 US	New Jersey
240	103.240.243.220:8080	 LA	
241	35.198.63.3:80	 US	California
242	67.58.170.178:53281	 US	Pennsylvania
243	91.105.96.2:8080	 LV	Riga
244	103.42.126.46:8080	 IN	West Bengal
245	194.177.0.74:53281	 UA	L'vivs'ka Oblast'
246	217.30.64.26:53281	 CZ	Hlavni mesto Praha
247	162.243.175.141:8080	 US	New Jersey
248	177.128.216.185:65205	 BR	Santa Catarina
249	208.81.158.5:8080	 US	Washington
250	125.99.255.126:53281	 IN	
251	190.52.130.32:8080	 PY	Asuncion
252	107.175.206.209:2018	 US	New York
253	180.92.230.58:80	 BD	Dhaka
254	136.243.57.122:8080	 DE	
255	92.38.47.48:53281	 RU	Nizhegorodskaya Oblast'
256	46.105.57.149:28475	 FR	
257	46.105.57.149:17760	 FR	
258	189.20.109.146:8080	 BR	
259	185.175.252.87:53281	 AL	Qarku i Tiranes
260	217.23.6.40:3128	 NL	
261	138.197.157.60:8080	 CA	Ontario
262	212.90.183.149:8080	 UA	Kyiv City
263	113.197.108.215:41766	 ID	West Java
264	187.95.34.10:8080	 BR	Rio de Janeiro
265	188.166.222.152:3128	 SG	Central Singapore Community Development Council
266	177.86.157.62:20183	 BR	Rio de Janeiro
267	103.216.82.43:6666	 IN	Gujarat
268	38.29.146.10:46103	 US	Mississippi
269	81.30.211.104:31773	 RU	Bashkortostan
270	82.102.12.190:1080	 GB	
271	102.164.216.209:8080	 TH	undefined
272	61.8.78.130:8080	 ID	
273	80.229.84.33:80	 GB	
274	194.8.129.61:8080	 RU	Stavropol'skiy Kray
275	91.200.44.225:3128	 UA	Republic of Crimea
276	5.199.239.128:53281	 UA	L'vivs'ka Oblast'
277	95.221.159.28:44331	 RU	Moscow
278	188.32.220.144:53281	 RU	Moscow
279	195.201.140.225:1080	 DE	
280	173.233.55.126:443	 US	Maryland
281	103.79.235.22:8080	 IN	
282	188.166.83.34:8080	 NL	North Holland
283	209.141.56.170:8080	 US	Nevada
284	117.20.54.20:3128	 ID	Yogyakarta
285	185.14.6.134:8080	 RU	Nizhegorodskaya Oblast'
286	90.157.95.121:8080	 RU	Sverdlovskaya Oblast'
287	109.172.149.56:8080	 GE	
288	217.12.212.150:35144	 UA	
289	103.23.103.197:8080	 ID	Central Java
290	104.139.71.127:58366	 US	North Carolina
291	138.117.39.10:8080	 BR	Para
292	117.54.239.82:53281	 ID	
293	138.99.13.90:53281	 BR	Rio de Janeiro
294	103.252.184.17:53281	 IN	Andhra Pradesh
295	37.59.8.29:25084	 FR	
296	80.244.224.62:8080	 RU	Moscow
297	180.210.205.110:3129	 SG	Central Singapore Community Development Council
298	87.228.29.154:53281	 RU	Moscow Oblast
299	86.197.8.73:80	 FR	
300	190.248.136.229:53281	 CO	Antioquia
301	46.216.34.1:53281	 BY	
302	120.50.13.90:8080	 BD	
303	201.220.141.124:8081	 HN	Departamento de Cortes
304	172.254.60.170:8080	 US	New York
305	212.232.12.31:53281	 RU	Voronezhskaya Oblast'
306	71.40.27.18:8080	 US	Texas
307	46.105.57.150:64043	 FR	
308	91.185.1.190:8080	 KZ	
309	45.77.209.150:8088	 US	Washington
310	45.125.223.65:8080	 BD	Chittagong
311	103.94.7.247:8080	 ID	Jakarta
312	206.51.139.201:17914	 US	Ohio
313	140.227.80.112:3129	 JP	Tokyo
314	89.177.110.102:8080	 CZ	Hlavni mesto Praha
315	41.58.129.202:8080	 NG	Lagos
316	103.35.198.83:53281	 IN	
317	196.11.90.57:8080	 GH	Greater Accra Region
318	188.166.201.181:3128	 NL	North Holland
319	213.33.231.226:3128	 RU	Moscow
320	181.118.74.19:8080	 AR	San Juan
321	103.92.142.183:53281	 AU	Queensland
322	92.222.180.156:3128	 FR	Paris
323	116.254.102.86:3128	 ID	Jakarta
324	137.74.199.51:3129	 FR	
325	212.119.193.202:53281	 RU	Moscow
326	177.184.197.146:8080	 BR	Sao Paulo
327	168.253.75.17:53281	 ZA	Western Cape
328	185.85.162.32:77	 RU	Orenburgskaya Oblast'
329	110.174.101.157:8197	 AU	Victoria
330	200.5.83.150:3128	 AR	Mendoza
331	140.227.71.55:3128	 JP	Tokyo
332	94.253.14.22:8080	 RU	Moscow Oblast
333	76.79.235.14:53281	 US	California
334	202.137.25.8:8080	 ID	Jakarta
335	46.149.233.8:8080	 RU	Kemerovskaya Oblast'
336	82.112.188.14:8080	 RU	Moscow
337	109.233.127.65:34484	 IT	
338	159.255.163.189:80	 IQ	Muhafazat Arbil
339	187.6.108.42:8080	 BR	Mato Grosso
340	109.251.168.9:53281	 UA	Zhytomyrs'ka Oblast'
341	94.177.254.54:80	 GB	Slough
342	103.112.9.30:8080	 BD	undefined
343	138.197.204.55:3128	 US	California
344	189.50.51.100:31323	 BR	Bahia
345	88.157.198.1:3128	 PT	
346	45.6.123.25:8080	 BR	
347	94.155.195.235:80	 BG	Sofia-Capital
348	66.96.236.137:80	 ID	Jakarta
349	37.144.154.98:8080	 RU	Moscow
350	117.244.15.243:3128	 IN	Punjab
351	89.23.0.140:3128	 RU	Pskovskaya Oblast'
352	62.210.58.174:5836	 FR	
353	109.182.229.165:8080	 SI	Mislinja
354	86.57.176.228:80	 BY	
355	178.128.240.4:80	 GR	
356	221.120.103.25:53281	 BD	
357	103.218.24.246:8080	 BD	Dhaka
358	113.53.61.96:8080	 TH	
359	176.227.188.66:53281	 RU	Ryazanskaya Oblast'
360	109.173.7.85:8081	 RU	Moscow
361	103.37.95.110:8080	 JP	Okinawa
362	124.81.123.2:8080	 ID	West Java
363	195.239.155.158:8080	 RU	
364	118.179.200.131:53281	 BD	Dhaka
365	190.12.86.162:8080	 PE	Lima
366	67.143.15.90:87	 US	
367	178.33.194.169:3128	 FR	
368	161.132.118.117:53281	 PE	Lima
369	54.187.52.159:80	 US	Oregon
370	201.71.47.114:20183	 BR	Minas Gerais
371	185.85.162.32:82	 RU	Orenburgskaya Oblast'
372	194.2.226.72:3128	 FR	
373	201.140.236.18:53281	 US	Texas
374	195.235.68.61:3128	 ES	
